FACILITY_NAME,ZIP,NAICS,SIC,REPORTING_YEAR,UNIT_NAME,FUEL_TYPE,FUEL_QUANTITY,FUEL_QUANTITY_UOM,Input_Capacity,Unit,Installed_Year
DUPONT SPECIALTY PROD USA LLC,18848,,3861,2017,Boiler 2,Natural gas/No.6 fuel oil,,,30.5,MMBtu/hr,
DUPONT SPECIALTY PROD USA LLC,18848,,3861,2017,Boiler 3,Natural gas/No.6 fuel oil,,,30.5,MMBtu/hr,
DUPONT SPECIALTY PROD USA LLC,18848,,3861,2017,Boiler 4,Natural gas/No.6 fuel oil,,,33.5,MMBtu/hr,
CONAGRA BRANDS,17847,,2032,2017,Boiler 6,Natural gas,,,108,MMBtu/hr,
CONAGRA BRANDS,17847,,2032,2017,Boiler 7,Natural gas,,,92,MMBtu/hr,
CONAGRA BRANDS,17847,,2032,2017,Boiler 8,Natural gas,,,96.8,MMBtu/hr,
MITSUBISHI CHEMICAL ADVANCED MATERIALS INC,18504,,3081,2018,Boiler 2,Natural gas,,,25.2,MMBtu/hr,
MITSUBISHI CHEMICAL ADVANCED MATERIALS INC,18504,,3081,2018,Boiler 3,Natural gas,,,25.2,MMBtu/hr,
WENGER FEEDS LLC,17570,,2048,2018,Boiler 1,Natural gas,,,<10,MMBtu/hr,
WENGER FEEDS LLC,17570,,2048,2018,Boiler 2,Natural gas,,,<10,MMBtu/hr,
LINDE GAS NORTH AMER LLC,16001,,2813,2017,AJAX boiler 1,Natural gas,,,9.5,MMBtu/hr,
LINDE GAS NORTH AMER LLC,16001,,2813,2017,AJAX boiler 2,Natural gas,,,9.5,MMBtu/hr,
LINDE GAS NORTH AMER LLC,16001,,2813,2017,AJAX boiler 3,Natural gas,,,9.5,MMBtu/hr,
WAUPACA FOUNDRY INC,16912,,3321,2018,Heaters/boilers,Natural gas/propane,,,0.15,MMBtu/hr,
AMER HARD CHROME LLC,16101,,3471,2019,300 base ,Natural gas,,,0.3,MMBtu/hr,
AMER HARD CHROME LLC,16101,,3471,2019,28HE-5,Natural gas,,,1.458,MMBtu/hr,
FREEPORT TERM INC,16229,,2821,2018,,Natural gas,,,30.1,MMBtu/hr,
FREEPORT TERM INC,16229,,2821,2018,,Oil,,,8.37,MMBtu/hr,
WENGER FEEDS LLC,17570,,2048,2020,,Natural gas/No.2 fuel oil,,,1.44,MMBtu/hr,
HORIZON MILLING LLC,18346,,2041,2017,Propane boiler 1,propane,,,8.4,MMBtu/hr,
HORIZON MILLING LLC,18346,,2041,2017,Propane boiler 2,propane,,,3,MMBtu/hr,
MORGAN ADVANCED MATERIALS & TECH INC,16915,,3624,2020,SB615 boiler,Natural gas,,,0.8,MMBtu/hr,
BINGAMAN & SON LUMBER INC,17833,,2421,2016,Biomass boiler,Wood,,,29.15,MMBtu/hr,
BINGAMAN & SON LUMBER INC,17833,,2421,2016,Keeler boiler 2,Wood,,,16.2,MMBtu/hr,
"APPVION OPERATIONS, INC.",16673,,2621,2015,No.4 power boiler,Natural gas/No.6 fuel oil/No.2 fuel oil,,,205.3,MMBtu/hr,
